iter	Passed	Remaining
0	288	287964
1	392	195662
2	499	165987
3	602	150043
4	708	140943
5	812	134686
6	918	130303
7	1025	127149
8	1129	124412
9	1237	122549
10	1340	120546
11	1444	118949
12	1553	117976
13	1661	117038
14	1771	116307
15	1879	115577
16	1988	114966
17	2092	114164
18	2199	113574
19	2306	113036
20	2411	112406
21	2516	111877
22	2619	111283
23	2720	110634
24	2823	110122
25	2930	109769
26	3032	109269
27	3135	108850
28	3238	108424
29	3343	108100
30	3450	107868
31	3555	107547
32	3657	107179
33	3764	106942
34	3869	106689
35	3976	106484
36	4084	106315
37	4186	105989
38	4290	105725
39	4395	105502
40	4499	105237
41	4607	105091
42	4710	104834
43	4811	104534
44	4917	104359
45	5021	104135
46	5122	103868
47	5225	103629
48	5331	103477
49	5438	103329
50	5545	103192
51	5647	102953
52	5754	102826
53	5857	102610
54	5959	102396
55	6064	102234
56	6170	102089
57	6271	101863
58	6378	101734
59	6486	101619
60	6593	101489
61	6696	101310
62	6797	101093
63	6912	101092
64	7015	100913
65	7122	100800
66	7229	100669
67	7335	100535
68	7442	100417
69	7546	100258
70	7651	100110
71	7752	99916
72	7854	99744
73	7956	99568
74	8060	99412
75	8163	99256
76	8266	99085
77	8371	98955
78	8479	98854
79	8586	98745
80	8691	98613
81	8797	98491
82	8897	98301
83	8999	98139
84	9105	98021
85	9224	98035
86	9336	97979
87	9438	97815
88	9541	97669
89	9645	97530
90	9753	97428
91	9863	97350
92	9967	97206
93	10071	97068
94	10172	96910
95	10274	96752
96	10383	96660
97	10491	96562
98	10597	96445
99	10702	96323
100	10807	96200
101	10925	96183
102	11033	96088
103	11133	95915
104	11235	95772
105	11340	95646
106	11449	95557
107	11556	95449
108	11665	95355
109	11766	95203
110	11871	95080
111	11978	94969
112	12089	94901
113	12199	94811
114	12302	94678
115	12409	94570
116	12516	94459
117	12623	94352
118	12730	94247
119	12837	94138
120	12943	94030
121	13046	93893
122	13146	93737
123	13253	93630
124	13358	93506
125	13461	93372
126	13567	93262
127	13669	93121
128	13773	92999
129	13877	92872
130	13978	92726
131	14086	92627
132	14191	92514
133	14296	92394
134	14397	92249
135	14502	92133
136	14605	92004
137	14711	91895
138	14817	91781
139	14919	91646
140	15021	91512
141	15123	91377
142	15227	91260
143	15330	91133
144	15436	91023
145	15543	90918
146	15656	90850
147	15765	90758
148	15872	90656
149	15981	90559
150	16083	90432
151	16191	90329
152	16301	90243
153	16409	90146
154	16518	90050
155	16621	89928
156	16725	89805
157	16833	89706
158	16941	89607
159	17044	89484
160	17146	89353
161	17253	89251
162	17356	89122
163	17457	88988
164	17560	88868
165	17664	88746
166	17770	88639
167	17872	88510
168	17978	88405
169	18084	88294
170	18188	88174
171	18288	88041
172	18399	87954
173	18502	87833
174	18609	87730
175	18711	87602
176	18818	87500
177	18926	87402
178	19035	87308
179	19142	87203
180	19244	87076
181	19345	86949
182	19455	86857
183	19558	86738
184	19661	86618
185	19768	86512
186	19877	86417
187	19980	86300
188	20091	86211
189	20193	86088
190	20300	85984
191	20403	85862
192	20508	85752
193	20616	85652
194	20720	85538
195	20826	85432
196	20932	85321
197	21034	85201
198	21138	85086
199	21244	84976
200	21349	84868
201	21465	84797
202	21571	84691
203	21677	84583
204	21785	84486
205	21891	84378
206	21993	84254
207	22095	84132
208	22197	84011
209	22304	83906
210	22407	83788
211	22514	83685
212	22616	83563
213	22719	83444
214	22824	83334
215	22928	83221
216	23035	83119
217	23139	83006
218	23243	82889
219	23349	82784
220	23452	82667
221	23553	82544
222	23660	82439
223	23764	82326
224	23869	82217
225	23972	82099
226	24075	81983
227	24183	81885
228	24291	81784
229	24397	81678
230	24499	81557
231	24605	81454
232	24706	81330
233	24815	81232
234	24923	81134
235	25030	81030
236	25131	80910
237	25237	80801
238	25342	80692
239	25449	80589
240	25552	80474
241	25660	80373
242	25761	80252
243	25866	80144
244	25971	80034
245	26077	79928
246	26182	79819
247	26287	79711
248	26392	79601
249	26499	79497
250	26606	79395
251	26711	79286
252	26812	79167
253	26914	79049
254	27020	78943
255	27121	78822
256	27222	78700
257	27329	78598
258	27435	78493
259	27539	78381
260	27642	78266
261	27744	78149
262	27847	78037
263	27951	77925
264	28054	77812
265	28161	77707
266	28262	77589
267	28363	77471
268	28469	77366
269	28570	77246
270	28672	77129
271	28776	77020
272	28880	76908
273	28983	76796
274	29088	76687
275	29196	76588
276	29307	76494
277	29408	76378
278	29511	76265
279	29618	76161
280	29722	76052
281	29828	75945
282	29930	75831
283	30034	75721
284	30140	75615
285	30243	75502
286	30344	75384
287	30449	75277
288	30549	75158
289	30653	75047
290	30756	74936
291	30862	74829
292	30970	74730
293	31072	74616
294	31174	74501
295	31281	74398
296	31387	74294
297	31488	74178
298	31603	74093
299	31709	73989
300	31814	73881
301	31917	73770
302	32023	73665
303	32128	73556
304	32229	73439
305	32333	73331
306	32441	73230
307	32549	73131
308	32655	73025
309	32759	72917
310	32860	72800
311	32963	72689
312	33063	72571
313	33169	72466
314	33271	72351
315	33372	72237
316	33473	72121
317	33574	72004
318	33678	71895
319	33780	71783
320	33884	71675
321	33988	71565
322	34093	71458
323	34199	71353
